name;description
ReferenciaCartoesBCPFree;20002984
I_NomeBenef_111TC;11111TC94552
I_IBAN_159;159
A_Beneficiario_1Benef;
A_IBAN_45477166594;
I_PagarCartao_10;10
I_IBAN_AT751;AT751400017910040596
I_Benef;Benef
I_Montante_5virg50;5,5
A_AtivarGerir;nome operação favorita
A_NumeroWTF;usar com 5euros
A_Montante5Euros;
A_AtivarGerir1;usado para editar ativar gerir
A_NumeroWTF_1;
I_NumeroDias_10;10
I_NISS_10294575765;10294575765
I_NISS_11322616811;11322616811
I_Montante_5virg67;5,67
I_IBAN_195;195
I_AutomationVariasVezes;AutomationAutomationAutomation
I_1234567890;1234567890
A_Montante1500;
I_IBAN_PT50003500000000000019526;PT50003500000000000019526
A_000012;
I_IBAN_PT50001000003774094000105;PT50001000003774094000105
A_Campo_preenchimento_obrigatorio;
A_montante_0;
A_IBAN_containvalida;
A_montantesuperior_0EUR;
A_Telemovel_invalido;
A_email_invalido;
A_Telemovel_Errado;
I_CodigoAutorizacao_1111111;1111111
I_NomeBenef_0000;0
I_IBAN_PT50001800031606386902015;PT50001800031606386902015
I_NomeBenef_Benef;Benef
I_Descritivo;descritivo
I_Montante_14;14
I_NaoFunciona;NaoFunciona
I_Montante_50;50
I_NomeBenef_Teste;teste
I_Montante_2500;2500
A_benef_00000TC137029;
A_IBAN_exemplo;
I_Zero;0
I_ErroIBAN;IBAN ou conta de destino inválida. 
I_Telemovel_Zeros;0
A_NomeUserBBC;Label BBC para escolha contacto
A_Montante10;valor 10
A_NomeCartao_MBNET;teste123
A_Benef_0000TC137221;
A_bcp;
I_Montante_1050;1050
I_Montante_100;100
I_CodigoIRS;1,23E+11
I_NIF_189393327;189393327
A_IBAN_SEPA;
A_Benef_TC137427;
I_ValorAlterarLimiteCredito550;550
I_RegistoMtrad04;mtrad04
I_User_BBC7092418;BBC7092418
I_RegistoCodAutErrado;´º´º1!>!≤@±±±
A_CodigoAutorizacao;1234567
I_MontantePedirDinheiroMBWay_5Euros;500
A_CodAutorizacao_Registo;9999999
A_nomeBenef_Descartavel;
A_NomeUser_Registo_TC138059;User a ser usado no tc138059 - fazer um registo - RMTM740490
I_Telemovel_Meo;965507898
I_Montante_8virg50;8,5
A_NomeUserVMBM;Label VMBM para escolha nos contactos
I_Telemovel_Nos;931085136
I_Telemovel_Vodafone;911111111
A_Tel_MEO;968074243
A_Montante10Euros;1000
A_Tel_NOS;
A_Tel_Vodafone;
A_montante_7Euros50;
A_Tel_NOS_Escolas;
A_Referencia_ViaCard;888888888
A_Montante1000;1000€ 
A_Ref_Estado;
I_Telemovel_NOSEscolaDigital;932912456
A_Montante100;10000
I_RefViacard;888888888
I_Referecia_EstadoJudiciais;5,14E+14
I_Montante_12;12
I_PagarServicos_Entidade;10620
I_PagarServicos_Referencia;23456751
I_Montante_5;5
a_Entidade_Servicos;
A_Ref_Servicos;
A_DiaParaAlterarPagemento;Valor 12
A_PercentagemAlterarPagemento;25%
I_NomeCartaoCompraUnica_Teste;teste
I_ValorAlterarLimiteMBNET_1000;1000
I_NomeCartaoDebito_Nome;Nome
A_IBAN_exemplo2;
A_IBAN_OIC;
A_0000TC163697;0000TC163697
A_OpenAplication_ID_APP_SAUCELABS;ID APP para acesso saucelabs -01146af9-f115-415d-9a79-b290bcfe4296
I_ID_App_Saucelabs;ed10ee82-cee2-4c74-96f6-ca3fd44d8a98
A_Percentagem3;
I_PagarCartao_1;1
I_Dia3;3
I_Valor10InputMontanteWU;10
I_ValorErradoNomeProprioWU_1000;1000
i_Montante_2550;2550
I_Montante_500;500
I_NumConta_45477166594;45477166594
I_Conta_6380485273;6380485273
I_Coord_MenuContextual_DMM_CreditMutuel;335:295
I_Coordenada_Desassocia_PT;
A_IBAN_195;
I_AppName;pt.millenniumbcp.millenniumbcpenter
A_Texto_WTF;
I_SigningId;4W9NZL6J87
I_ActivityPath;/Users/noesis/Desktop/Millennium.ipa
I_Coord_InputValorCartao;160:300
I_NIF_286757052;286757052
A_AutomationVariasVezes_Erro;
I_Coord_FotoNaGaleria;59:300
A_00000TC95526;
A_12345;
A_Montante1;Valor: 100
A_Valor123456789;
I_2500_Virgula;2,5
I_2550_Virgula;2,55
A_InsiraMontanteSuperior0EUR;
A_lbl_Beneficiario;
A_lbl_Montante;
A_lbl_DescritivoParaContaDestino;
i_NewTAEG;New TAEG
A_lbl_IBAN_ou_Conta_Millennium_bcp;
I_7virg50;7,5
i_7virg50_EUR;7,50 EUR
I_Telemovel_EscolaDigital;924159477
I_Montante_6;6
I_6virg00_EUR;6,00 EUR
A_OK;
A_Valor5;
A_NISS_10294575765_ComEspacos;
A_valor40;
I_REF_999999999;999999999
I_20virg00_EUR;20,00 EUR
I_REF_EstadoJudiciais_514099000002044;5,14E+14
A_NISS_11290606979;
A_NISS_11290606979_ComEspacos;
I_EstadoJudiciais_Disclaimer_1_EN;1. The final payment date is determined by the creditor
I_EstadoJudiciais_Disclaimer_2_EN;2. This payment is subject to validation. We cannot be held accountable 
I_OperationNoCosts;This operation has no costs
I_Montante_20;20
I_EstadoJudiciais_Disclaimer_3_EN;3. Due to limitations of the Multibanco system...
I_PagarServicos_Referencia_120056714;120056714
I_5virg00_EUR;5
A_Valor_Portugal;Portugal
A_Valor_Portu;Portu
A_lbl_TaxaCambio;Taxa de câmbio
A_lbl_TotalDebitar;Total a debitar
A_Valor_Hastag;#
A_Valor_Bruno;Bruno
I_0_EUR;0 EUR
I_Montante_800;800
I_EUR;EUR
I_Montante_10;10
I_Montante_0;0
I_12_months;12 months
A_Valor_TelePessoal;Tele Pessoal
A_IBAN_001800031606423002020;1,80E+18
i_CardTest;CardTest
I_Montante_1000;1000
I_Montante_1;1
A_IBAN_123456789012345;1,23E+14
A_IBAN_026903120020204517261;2,69E+19
A_IBAN_PT500269031200202045172611;PT500269031200202045172611
A_Valor_TudoConta;Tudo Conta
A_ValorNum1;1
A_Valor_RuiVelosos;Rui Velososs
A_Valor1222;1222
I_OperacaoTemUmCustoDe;Esta operação tem um custo de
I_Transferencia_Disclaimer_1;1 - Regime de prevenção e repressão do branqueamento de capitais e do financiamento do terrorismo.
I_Transferencia_Disclaimer_2;O Banco, nos termos da legislação em vigor (Regulamento (CE) nº 1781/2006...
I_Transferencia_Disclaimer_3;poderá revelar a estes últimos a minha identidade bem como os detalhes da operação.
I_Transferencia_Disclaimer_4;"validação da designação que indicar no campo: Nome do Beneficiário""."""
A_teste123;teste123
A_lbl_SaldoInsuficiente;Saldo insuficiente
A_montante50E;
A_DescritivoContaDestino;
I_Coord_GerirAgendamentos_OpCtx_Remover;90:425
I_250virg00_EUR;250,00 EUR
A_BancoSantanderTottaSA;Banco Santander Totta S.A.
A_valor1302;13,02
A_lbl_DisclaimerPonto1_TC137242;
A_lbl_DisclaimerPonto2_TC137242;
A_IBAN_FR7613825002000450659908125;
A_Montante20;20
A_lbl_PoderaVerCustos;
A_btn_Gmail;
A_btn_Bluetooth;
A_lbl_UmaVezQueDefiniu;
A_lbl_Benef_Confiavel;
A_Beneficiario2;Benef2
A_Tel_9123456789;9123456789
A_Tel_912345678;
A_emailValido;a@a.com
A_Montante1050;1050€
A_valor111;
A_codIrs_123456789999;1,23E+11
A_NIF_SujeitoA;144748762
A_btn_Sair;
A_btn_dllOpcaoMEO;MEO/Serviço MEO
A_btn_OpcaoNOS;
A_ValorVod_750;7,50€
A_btn_OpcaoVodafoneDireto;Vodafone Directo
A_btn_OpcaoEscolaDigital;NOS Escola Digital
A_btn_OpcaoViaCARD;ViaCard
A_Valor_ViaCard;15,00 EUR
